2026-03-20 | sergsemenciuc | payout_hold | enable_transfers
2026-03-20 | sergsemenciuc | fraud_review | terminate_fraud
2026-03-20 | sergsemenciuc | fraud_review | terminate_fraud
2026-03-20 | sergsemenciuc | fraud_review | request_documentation
2026-03-20 | sergsemenciuc | fraud_review | terminate_fraud
2026-03-23 | goran.blagajac | payout_hold | enforce_reserve
2026-03-23 | goran.blagajac | fraud_review | no_action
2026-03-23 | goran.blagajac | misdirected | redirect
2026-03-23 | goran.blagajac | fraud_review | no_action
2026-03-23 | goran.blagajac | payout_hold | no_action
2026-03-23 | goran.blagajac | fraud_review | request_documentation
2026-03-23 | goran.blagajac | fraud_review | terminate_fraud
2026-03-23 | goran.blagajac | fraud_review | terminate_fraud
2026-03-23 | goran.blagajac | fraud_review | terminate_fraud
2026-03-23 | goran.blagajac | fraud_review | terminate_fraud
2026-03-23 | goran.blagajac | fraud_review | terminate_fraud
2026-03-23 | goran.blagajac | payout_hold | enforce_reserve
2026-03-23 | goran.blagajac | research | no_action
2026-03-23 | goran.blagajac | payout_hold | enforce_reserve
2026-03-23 | goran.blagajac | payout_hold | enforce_reserve
2026-03-23 | sofika | payout_hold | enable_transfers
2026-03-23 | sofika | fraud_review | no_action
2026-03-24 | goran.blagajac | other | redirect
2026-03-24 | goran.blagajac | fraud_review | no_action
2026-03-24 | goran.blagajac | fraud_review | terminate_fraud
2026-03-24 | goran.blagajac | fraud_review | terminate_fraud
2026-03-24 | sofika | payout_hold | enable_transfers
2026-03-24 | sofika | payout_hold | enforce_reserve
2026-03-24 | sofika | payout_hold | enable_transfers
2026-03-25 | goran.blagajac | fraud_review | terminate_fraud
2026-03-25 | goran.blagajac | fraud_review | terminate_fraud
2026-03-25 | goran.blagajac | misdirected | redirect
2026-03-25 | goran.blagajac | payout_hold | enforce_reserve
2026-03-25 | goran.blagajac | other | no_action
2026-03-25 | goran.blagajac | payout_hold | enforce_reserve
2026-03-25 | goran.blagajac | fraud_review | terminate_fraud
2026-03-25 | goran.blagajac | fraud_review | terminate_fraud
2026-03-25 | goran.blagajac | fraud_review | terminate_fraud
2026-03-25 | goran.blagajac | fraud_review | no_action
2026-03-25 | goran.blagajac | payout_hold | no_action
2026-03-25 | goran.blagajac | payout_hold | no_action
2026-03-25 | goran.blagajac | payout_hold | no_action
2026-03-25 | sofika | resolved_lookup | no_action
2026-03-25 | sofika | payout_hold | enable_transfers
2026-03-25 | sofika | fraud_review | false_positive
2026-03-26 | goran.blagajac | fraud_review | terminate_fraud
2026-03-26 | goran.blagajac | fraud_review | terminate_fraud
2026-03-26 | goran.blagajac | fraud_review | terminate_fraud
2026-03-26 | goran.blagajac | payout_hold | enforce_reserve
2026-03-26 | goran.blagajac | payout_hold | enable_transfers
2026-03-26 | goran.blagajac | fraud_review | redirect
2026-03-26 | goran.blagajac | fraud_review | no_action
2026-03-26 | goran.blagajac | payout_hold | enforce_reserve
2026-03-26 | goran.blagajac | payout_hold | redirect
2026-03-26 | goran.blagajac | payout_hold | redirect
2026-03-26 | sofika | payout_hold | redirect
2026-03-27 | goranblagajac | fraud_review | terminate_fraud
2026-03-27 | goranblagajac | fraud_review | false_positive
2026-03-27 | goranblagajac | payout_hold | redirect
2026-03-27 | goranblagajac | payout_hold | enforce_reserve
2026-03-27 | goranblagajac | payout_hold | no_action
2026-03-27 | goranblagajac | fraud_review | no_action
2026-03-27 | goranblagajac | payout_hold | no_action
2026-03-27 | goranblagajac | fraud_review | request_documentation
2026-03-27 | goranblagajac | misdirected | redirect
2026-03-27 | goranblagajac | fraud_review | terminate_fraud
2026-03-27 | sofika | resolved_lookup | false_positive
2026-03-27 | sofika | fraud_review | redirect
2026-03-27 | sofika | payout_hold | enforce_reserve
2026-03-27 | sofika | misdirected | redirect
2026-03-30 | briantambling | resolved_lookup | no_action
2026-03-30 | briantambling | fraud_review | no_action
2026-03-30 | briantambling | payout_hold | enforce_reserve
2026-03-30 | briantambling | resolved_lookup | no_action | https://shopify.slack.com/archives/C032EQKDS64/p1774861234378059
2026-03-30 | briantambling | fraud_review | request_documentation | https://shopify.slack.com/archives/C032EQKDS64/p1774865923572239
2026-03-30 | briantambling | payout_hold | redirect | https://shopify.slack.com/archives/C032EQKDS64/p1774874963858749
2026-03-30 | briantambling | other | redirect | https://shopify.slack.com/archives/C032EQKDS64/p1774875535607559
2026-03-30 | briantambling | resolved_lookup | no_action | https://shopify.slack.com/archives/C032EQKDS64/p1774879497417459
2026-03-30 | briantambling | resolved_lookup | no_action | https://shopify.slack.com/archives/C032EQKDS64/p1774881957906229
2026-03-30 | briantambling | research | no_action | https://shopify.slack.com/archives/C032EQKDS64/p1774884139645469
2026-03-30 | briantambling | fraud_review | no_action | https://shopify.slack.com/archives/C032EQKDS64/p1774884278863809
2026-03-31 | briantambling | payout_hold | enable_transfers | https://shopify.slack.com/archives/C032EQKDS64/p1774939402574119
2026-03-31 | briantambling | payout_hold | enable_transfers | https://shopify.slack.com/archives/C032EQKDS64/p1774949134072639
2026-03-31 | briantambling | payout_hold | enable_transfers | https://shopify.slack.com/archives/C032EQKDS64/p1774950479628249
2026-03-31 | briantambling | fraud_review | request_documentation | https://shopify.slack.com/archives/C032EQKDS64/p1774950718110409
2026-03-31 | briantambling | fraud_review | terminate_fraud | https://shopify.slack.com/archives/C032EQKDS64/p1774950942032019
2026-03-31 | briantambling | fraud_review | no_action | https://shopify.slack.com/archives/C032EQKDS64/p1774952416135699
2026-03-31 | briantambling | payout_hold | enable_transfers | https://shopify.slack.com/archives/C032EQKDS64/p1774953160642949
2026-03-31 | briantambling | payout_hold | enforce_reserve | https://shopify.slack.com/archives/C032EQKDS64/p1774956136474849
2026-03-31 | briantambling | fraud_review | request_documentation | https://shopify.slack.com/archives/C032EQKDS64/p1774958135305749
2026-03-31 | briantambling | payout_hold | enable_transfers | https://shopify.slack.com/archives/C032EQKDS64/p1774961787163289
2026-03-31 | briantambling | fraud_review | request_documentation | https://shopify.slack.com/archives/C032EQKDS64/p1774963117529239
2026-03-31 | briantambling | payout_hold | enable_transfers | https://shopify.slack.com/archives/C032EQKDS64/p1774964461109239
2026-03-31 | briantambling | payout_hold | enable_transfers | https://shopify.slack.com/archives/C032EQKDS64/p1774965253967879
2026-03-31 | briantambling | payout_hold | redirect | https://shopify.slack.com/archives/C032EQKDS64/p1774966178582779
2026-03-31 | briantambling | fraud_review | no_action | https://shopify.slack.com/archives/C032EQKDS64/p1774967071777329
2026-03-31 | briantambling | payout_hold | redirect | https://shopify.slack.com/archives/C032EQKDS64/p1774967780547669
2026-03-31 | briantambling | fraud_review | redirect | https://shopify.slack.com/archives/C032EQKDS64/p1774969383790239
2026-04-01 | briantambling | research | no_action | https://shopify.slack.com/archives/C032EQKDS64/p1774998072524059
2026-04-03 | briantambling | fraud_review | no_action | https://shopify.slack.com/archives/C032EQKDS64/p1775180424575759
2026-04-03 | briantambling | payout_hold | enable_transfers | https://shopify.slack.com/archives/C032EQKDS64/p1775203984853719
2026-04-03 | briantambling | payout_hold | enable_transfers | https://shopify.slack.com/archives/C032EQKDS64/p1775203984853719
2026-04-03 | briantambling | payout_hold | enable_transfers | https://shopify.slack.com/archives/C032EQKDS64/p1775209742815479
2026-04-03 | briantambling | payout_hold | enable_transfers | https://shopify.slack.com/archives/C032EQKDS64/p1775209742815479
2026-04-03 | briantambling | payout_hold | enable_transfers | https://shopify.slack.com/archives/C032EQKDS64/p1775209742815479
2026-04-03 | briantambling | fraud_review | false_positive | https://shopify.slack.com/archives/C032EQKDS64/p1775212589291979
2026-04-03 | briantambling | payout_hold | redirect | https://shopify.slack.com/archives/C032EQKDS64/p1775214052320949
2026-04-03 | briantambling | payout_hold | enable_transfers | https://shopify.slack.com/archives/C032EQKDS64/p1775217073863979
2026-04-03 | briantambling | payout_hold | enable_transfers | https://shopify.slack.com/archives/C032EQKDS64/p1775217415458839
2026-04-03 | briantambling | other | no_action | https://shopify.slack.com/archives/C032EQKDS64/p1775217471100999
2026-04-03 | briantambling | payout_hold | enforce_reserve | https://shopify.slack.com/archives/C032EQKDS64/p1775222651781939
2026-04-03 | briantambling | payout_hold | enable_transfers | https://shopify.slack.com/archives/C032EQKDS64/p1775225761798049
2026-04-03 | briantambling | payout_hold | no_action | https://shopify.slack.com/archives/C032EQKDS64/p1775226265910769
2026-04-03 | briantambling | other | no_action | https://shopify.slack.com/archives/C032EQKDS64/p1775226438196809
2026-04-03 | briantambling | payout_hold | enable_transfers | https://shopify.slack.com/archives/C032EQKDS64/p1775228102603439
2026-04-03 | briantambling | fraud_review | request_documentation | https://shopify.slack.com/archives/C032EQKDS64/p1775230539250909
2026-04-03 | briantambling | misdirected | redirect | https://shopify.slack.com/archives/C032EQKDS64/p1775231491412599
2026-04-13 | goranblagajac | resolved_lookup | no_action | https://shopify.slack.com/archives/C032EQKDS64/p1776037804784509
